dd,mm,zz,pp,departamento,municipio,puesto,mesa,estrato
09,001,01,05,CALDAS,MANIZALES,COL.FILIPENSE NTRA SRA LOURDE,2,urbano
01,013,01,02,ANTIOQUIA,AMAGA,I.E. NORMAL SUPERIOR AMAGA,11,urbano
16,001,10,03,BOGOTA D.C.,BOGOTA. D.C.,NORMANDIA,8,urbano
01,202,00,00,ANTIOQUIA,PUEBLORRICO,I. E. EL SALVADOR,17,urbano
01,049,04,08,ANTIOQUIA,BELLO,I.E. LA MILAGROSA,7,urbano
01,103,03,02,ANTIOQUIA,COPACABANA,I.E SAN LUIS GONZAGA,1,urbano
01,117,01,01,ANTIOQUIA,EL BAGRE,CTRO DE FORM.  MINERO AMB. SD ROLDAN BL1,12,urbano
16,001,07,23,BOGOTA D.C.,BOGOTA. D.C.,LA ESPERANZA,14,urbano
17,001,03,02,CHOCO,QUIBDO,UNIVERSIDAD TECNOLOGICA,15,urbano
23,001,05,03,NARIÑO,PASTO,I.N.E.M,21,urbano
16,001,04,12,BOGOTA D.C.,BOGOTA. D.C.,SAN ISIDRO,9,urbano
31,001,02,01,VALLE,CALI,INST UNIV ANTONIO JOSE CAMACHO,37,urbano
52,001,08,01,META,VILLAVICENCIO,IE LAS CAMELIAS,13,urbano
15,088,01,02,CUNDINAMARCA,FUNZA,COL TEC IND CORAZON DE MARIA,6,urbano
16,001,09,42,BOGOTA D.C.,BOGOTA. D.C.,TREBOLIS,4,urbano
28,300,02,02,SUCRE,TOLU,INST. EDUCATIVA SD FATIMA  EL PROGRESO,16,urbano
46,001,01,04,CASANARE,YOPAL,COLEGIO DE LA PRESENTACION YOPAL,7,urbano
16,001,18,22,BOGOTA D.C.,BOGOTA. D.C.,LOS MOLINOS II SECTOR,14,urbano
27,091,01,04,SANTANDER,GIRON,COL.LUIS CARLOS  GALAN/SEDE B,6,urbano
01,214,03,02,ANTIOQUIA,RIONEGRO,IT SANTIAGO DE ARMA,18,urbano
29,001,07,01,TOLIMA,IBAGUE,IE TECNICA ALBERTO CASTILLA SD TOPACIO,1,urbano
29,070,00,00,TOLIMA,LERIDA,PUESTO  CABECERA MUNICIPAL,26,urbano
09,049,01,02,CALDAS,LA DORADA,ESC SAN VICENTE,13,urbano
11,013,00,00,CAUCA,CAJIBIO,PUESTO  CABECERA MUNICIPAL,12,urbano
31,001,30,06,VALLE,CALI,ESCUELA GRAN COLOMBIA,15,urbano
01,035,04,02,ANTIOQUIA,APARTADO,I.E. MADRE  LAURA,12,urbano
03,001,31,05,ATLANTICO,BARRANQUILLA,ANTONIO JOSE DE SUCRE SEDE 1,22,urbano
12,225,02,01,CESAR,CURUMANI,INSTITUCIÓN EDUCATIVA SAN JOSE,4,urbano
11,001,05,02,CAUCA,POPAYAN,COLEGIO DON BOSCO,2,urbano
29,013,00,00,TOLIMA,ANZOATEGUI,PUESTO  CABECERA MUNICIPAL,1,urbano
21,031,01,02,MAGDALENA,FUNDACION,IE COLOMBIA,10,urbano
01,172,00,00,ANTIOQUIA,LIBORINA,COLISEO MUNICIPAL,16,urbano
16,001,19,10,BOGOTA D.C.,BOGOTA. D.C.,JUAN PABLO  II,14,urbano
07,181,01,02,BOYACA,PAIPA,I.E.EL ROSARIO SEDE CAMPESTRE,7,urbano
25,001,07,04,NORTE DE SAN,CUCUTA,COL MARIANO OSPINA  RODRIGUEZ,1,urbano
16,001,11,28,BOGOTA D.C.,BOGOTA. D.C.,CENTRO  COMERCIAL MAZUREN,11,urbano
13,037,02,04,CORDOBA,SAHAGUN,I.E. EL CARMEN,7,urbano
03,052,11,04,ATLANTICO,SOLEDAD,I.E.JHON F. KENNEDY,17,urbano
31,001,15,02,VALLE,CALI,ESCUELA SAN ROQUE,30,urbano
31,019,02,06,VALLE,BUENAVENTURA,CENTRO  DOCENTE NELSON  MANDELA,8,urbano
01,100,00,00,ANTIOQUIA,CONCORDIA,I.E DE JESUS,19,urbano
01,001,15,09,ANTIOQUIA,MEDELLIN,IE ESC NORMAL SUPERIOR DE MEDELLIN,5,urbano
07,277,90,01,BOYACA,SOGAMOSO,COLEGIO CELCO,1,urbano
31,001,32,06,VALLE,CALI,COLEGIO POTREROGRANDE,23,urbano
16,001,06,31,BOGOTA D.C.,BOGOTA. D.C.,INSTITUTO TECNICO PILOTO  SEDE C,5,urbano
16,001,11,15,BOGOTA D.C.,BOGOTA. D.C.,PRADO  VERANIEGO,9,urbano
26,010,01,01,QUINDIO,CALARCA,INST.EDUC.SEGUNDO HENAO,16,urbano
29,001,08,05,TOLIMA,IBAGUE,IE JOSE JOAQUIN FLOREZ  SEDE 1,1,urbano
16,001,12,06,BOGOTA D.C.,BOGOTA. D.C.,METROPOLIS,11,urbano
16,001,05,21,BOGOTA D.C.,BOGOTA. D.C.,LA FISCALA,14,urbano
29,001,01,05,TOLIMA,IBAGUE,IE NELSY GARCIA  OCAMPO SEDE 1,4,urbano
15,169,02,01,CUNDINAMARCA,MOSQUERA,COLEGIO ROBERTO VELANDIA,9,urbano
19,001,03,03,HUILA,NEIVA,COL.SALESIANO SAN MEDARDO,21,urbano
05,082,00,00,BOLIVAR,SAN MARTIN  DE LOBA,PUESTO  CABECERA MUNICIPAL,8,urbano
